MLS,Location, Price ,Bedrooms,Bathrooms, Size (m2) ,Status,Status_Code,,,,,,,,,,,
151395,Santa Maria-Orcutt,"$109,900.00 ",2,2,111.5,Foreclosure,1,,,,,,,,,,,
151402,Paso Robles,"$309,000.00 ",3,2,138.2,Short Sale,0,,,,,,,,,,,
151419,Pismo Beach,"$1,799,000.00 ",4,4,335.3,Foreclosure,1,,,,,,,,,,,
151441,Santa Maria-Orcutt,"$209,900.00 ",2,2,103.4,Short Sale,0,,,,,,,,,,,
151443,Solvang,"$499,000.00 ",3,2,148.6,Short Sale,0,,,,,,,,,,,
151451,Arroyo Grande,"$525,000.00 ",4,2,182.2,Short Sale,0,,,,,,,,,,,
151454,Los Osos,"$650,000.00 ",3,3,301.8,Short Sale,0,,,,,,,,,,,
151470,Morro Bay,"$529,000.00 ",3,3,140.3,Short Sale,0,,,,,,,,,,,
151498,Santa Maria-Orcutt,"$179,000.00 ",3,2,120.8,Short Sale,0,,,,,,,,,,,
151521,Lompoc,"$282,000.00 ",3,3,161.3,Short Sale,0,,,,,,,,,,,
151527,Templeton,"$899,000.00 ",4,3,279.5,Short Sale,0,,,,,,,,,,,
151534,Santa Maria-Orcutt,"$130,000.00 ",3,2,171.9,Short Sale,0,,,,,,,,,,,
151636,Santa Maria-Orcutt,"$205,000.00 ",3,2,106.5,Short Sale,0,,,,,,,,,,,
151640,Santa Maria-Orcutt,"$180,900.00 ",2,2,102.2,Short Sale,0,,,,,,,,,,,
151647,Atascadero,"$409,900.00 ",4,4,198.3,Short Sale,0,,,,,,,,,,,
151648,Atascadero,"$409,900.00 ",4,4,198.3,Short Sale,0,,,,,,,,,,,
